"","iso_o","indegree","outdegree","between","close","eigen","TIME_PERIOD","export","import","net_imp","gdp_pct","trade_openness","schooling","internet","energy","pop_den","co2","country","continent","category","development","LTE_year","adoption_year","adopted"
"1","ARG",73,74,21.8238095238095,2.39808153477229,0.0343250266026151,2018,74.547,56.223,-18.324,13058.33,30.76,17.85782051,77.7,1806.78,16.32,4.25,"Argentina","America","Emerging and Developing Economies",0,1,2014,1
"2","AUS",74,74,0,1.92307692307697,0.116774910735446,2018,204.296,178.124,-26.172,58530.78,43.74,20.42849922,90,5086.37,3.25,16.39,"Australia","Pacific","Advanced Economies",1,1,2011,1
"3","AUT",73,74,0,2.25733634311523,0.0349837856229045,2018,73.475,102.682,29.207,45951.58,108.38,16.02190971,87.5,3717.63,107.13,7.6,"Austria","Europe","Advanced Economies",1,1,2010,1
"4","BEL",74,74,0,2.25733634311523,0.0462397632589601,2018,103,135.569,32.569,42208.36,168.28,19.56148911,88.6,4660.21,374.74,8.76,"Belgium","Europe","Advanced Economies",1,1,2012,1
"5","BGD",74,71,27.65,2.20750551876388,0.02431091693674,2018,17.509,53.42,35.911,1462.25,32.51,11.39918995,25.6,257.87,1256.23,0.65,"Bangladesh","Asia","Emerging and Developing Economies",0,1,2013,1
"6","BGR",71,73,13.7866161616162,2.21238938053106,0.00609836825536993,2018,43.048,27.926,-15.122,8211.94,128.87,15.6224699,64.8,2764.28,61.82,6.89,"Bulgaria","Europe","Emerging and Developing Economies",0,1,2014,1
"7","BLR",71,73,0,1.98412698412703,0.0113550593686611,2018,57.774,47.647,-10.127,6165.91,139.39,14.67171001,79.1,2849.29,46.5,6.73,"Belarus","Europe","Emerging and Developing Economies",0,1,2011,1
"8","BRA",74,74,0,2.35294117647069,0.111337011202963,2018,337.958,174.458,-163.5,8722.34,28.88,15.50376034,70.4,1403.4,24.66,2.28,"Brazil","America","Emerging and Developing Economies",0,1,2011,1
"9","BRN",59,39,2229.33607288321,2.70270270270279,0.00319984508474826,2018,4.303,4.25,-0.0529999999999999,29200.2,93.9,13.94052982,95,8304.04,83.08,18.34,"Brunei Darussalam","Asia","Emerging and Developing Economies",0,1,2013,1
"10","CAN",74,74,0,1.11856823266222,0.341662475929946,2018,392.432,277.317,-115.115,44907.34,66.6,15.93410969,94.6,8161.78,4.13,16.55,"Canada","America","Advanced Economies",1,1,2011,1
"11","CHE",74,74,0,2.25733634311523,0.0453021838262941,2018,49.432,105.761,56.329,86756.6,124.43,16.25905037,91.8,2806.5,215.5,4.52,"Switzerland","Europe","Advanced Economies",1,1,2012,1
