"","iso_o","indegree","outdegree","between","close","eigen","TIME_PERIOD","export","import","net_imp","gdp_pct","trade_openness","schooling","internet","energy","pop_den","co2","country","continent","category","development","LTE_year","adoption_year","adopted"
"1","ARG",72,73,97.3614940614941,3.3222591362128,0.0385725355809205,2012,75.948,55.174,-20.774,13754.43,30.53,17.23535919,55.8,1897.61,15.41,4.48,"Argentina","America","Emerging and Developing Economies",0,0,2014,1
"2","AUS",74,74,0,2.49376558603498,0.133627487098044,2012,185.998,218.426,32.428,55257.57,43.16,22.75411542,79,5533.72,2.96,18.18,"Australia","Pacific","Advanced Economies",1,1,2011,1
"3","AUT",73,74,0.222222222222222,2.9239766081873,0.0389119295010891,2012,70.234,101.911,31.677,44221.46,105.84,16.30450058,80,3899.16,102.16,8.19,"Austria","Europe","Advanced Economies",1,1,2010,1
"4","BEL",73,74,0,2.36966824644557,0.0576323891272738,2012,110.211,147.048,36.837,40074.49,160.38,19.16010094,80.7,4822.69,366.17,9.28,"Belgium","Europe","Advanced Economies",1,1,2012,1
"5","BGD",69,70,53.3480519480519,3.21543408360147,0.0198056438670545,2012,18.261,42.084,23.823,1050.39,48.11,9.998906817,5,208.04,1191.29,0.45,"Bangladesh","Asia","Emerging and Developing Economies",0,0,2013,1
"6","BGR",68,72,51.7611757523522,3.21543408360147,0.00582502122815138,2012,38.356,24.614,-13.742,6693.43,123.97,14.56939983,51.9,2493.08,67.3,6.83,"Bulgaria","Europe","Emerging and Developing Economies",0,0,2014,1
"7","BLR",71,74,54.5914629488159,3.36700336700355,0.0162368879683473,2012,63.898,52.535,-11.363,6052.64,153.09,15.77573967,46.9,3219.43,46.56,6.8,"Belarus","Europe","Emerging and Developing Economies",0,1,2011,1
"8","BRA",74,73,1.33333333333333,2.88184438040362,0.139454388549777,2012,267.285,219.273,-48.012,9167.5,25.11,15.21427453,48.6,1433.15,23.56,2.53,"Brazil","America","Emerging and Developing Economies",0,1,2011,1
"9","BRN",61,30,950.718288754589,3.58422939068117,0.00215727667768931,2012,5.449,4.226,-1.223,33544.54,105.64,14.74849987,60.3,9446.07,76.96,18.79,"Brunei Darussalam","Asia","Emerging and Developing Economies",0,0,2013,1
"10","CAN",74,74,0,1.4124293785311,0.414838288140933,2012,366.003,322.287,-43.716,42320.64,62.6,15.72655964,83,7637.78,3.87,16.34,"Canada","America","Advanced Economies",1,1,2011,1
"11","CHE",73,74,0,2.33100233100241,0.0517844072619961,2012,49.613,110.553,60.94,81964.89,126.45,15.82800961,85.2,3175.97,202.39,5.45,"Switzerland","Europe","Advanced Economies",1,1,2012,1
"12","CHL",72,73,22.2520202020202,3.33333333333351,0.0493212955022045,2012,44.982,62.302,17.32,12882.83,68.16,15.41316986,55.1,2123.49,23.56,4.64,"Chile","America","Emerging and Developing Economies",0,0,2013,1
"13","CHN",74,74,0,0.223763705526964,0.492392166518742,2012,2274.636,1163.087,-1111.549,6723.19,47.48,13.28357029,42.3,2085.22,144.24,7.6,"China","Asia","Emerging and Developing Economies",0,0,2013,1
"14","CIV",67,63,187.154076040918,3.31125827814588,0.00294252498360262,2012,6.193,7.12,0.927,1503.43,70.3,8.027093633,4.4,442.18,73.8,0.38,"Côte d'Ivoire","Africa","Emerging and Developing Economies",0,0,2016,1
"15","CMR",66,61,606.259423419717,3.43642611683866,0.00261928112234469,2012,6.662,5.936,-0.726,1319.67,50.04,11.32874012,7.5,368.67,44.02,0.36,"Cameroon","Africa","Emerging and Developing Economies",0,0,2016,1
"16","COL",70,66,25.9009952465835,3.20512820512839,0.0462058965899243,2012,44.404,52.063,7.659,5675.76,38.84,14.18010044,49,681.24,41.2,1.55,"Colombia","America","Emerging and Developing Economies",0,1,2012,1
"17","CRI",61,63,448.050307862073,3.50877192982474,0.0128229707910527,2012,6.142,11.4,5.258,11001.52,67.05,14.13411999,47.5,1017.65,91.34,1.64,"Costa Rica","America","Emerging and Developing Economies",0,0,2013,1
"18","CYP",68,67,423.243090646883,3.36700336700355,0.00158891073881313,2012,3.139,5.274,2.135,24285.5,112.34,13.95650005,60.7,1936.17,126.13,6.11,"Cyprus","Europe","Advanced Economies",1,0,2015,1
"19","CZE",73,73,58.8787896314212,3.12500000000017,0.0327684096120309,2012,92.129,81.5,-10.629,16772.35,145.48,16.35502052,73.4,4109.54,136.1,10.85,"Czech Republic","Europe","Advanced Economies",1,1,2012,1
"20","DEU",74,74,0,1.27064803049559,0.273288800960184,2012,546.612,694.365,147.753,40829.03,79.3,17.02317649,82.4,3913.44,230.75,9.95,"Germany","Europe","Advanced Economies",1,1,2011,1
"21","DNK",73,74,0,2.86532951289416,0.0246083684474179,2012,78.071,59.42,-18.651,51470.69,104.36,18.6772995,92.3,3072.09,139.79,6.9,"Denmark","Europe","Advanced Economies",1,1,2010,1
"22","EGY",72,74,23.5073295985061,3.28947368421071,0.0263462599047577,2012,31.725,59.346,27.621,3220.99,40.71,11.57713032,26.4,866.24,93.59,2.5,"Egypt","Africa","Emerging and Developing Economies",0,0,2017,1
"23","ESP",73,74,0,2.86532951289416,0.084159632715632,2012,169.4,211.221,41.821,24763.57,60.55,16.98982048,69.8,2677.18,93.51,6.14,"Spain","Europe","Advanced Economies",1,0,2013,1
"24","EST",70,69,86.2703499115264,3.1645569620255,0.0034146602234365,2012,14.051,10.562,-3.489,16460.68,169.16,16.60737038,78.4,3984.06,31.2,15.52,"Estonia","Europe","Advanced Economies",1,1,2010,1
"25","FIN",73,74,0,2.86532951289416,0.023677526498323,2012,47.01,57.574,10.564,43507.93,79.43,17.10630035,89.9,6265.77,17.82,9.66,"Finland","Europe","Advanced Economies",1,1,2010,1
"26","FRA",74,74,0,1.00000000000001,0.180285854493585,2012,217.727,390.337,172.61,36161.29,61.66,15.48921013,81.4,3929.21,121.83,5.58,"France","Europe","Advanced Economies",1,1,2012,1
"27","GBR",74,74,0,1.78253119429594,0.179756539152583,2012,198.527,374.19,175.663,42794.78,62.23,15.70308018,87.5,3028.77,263.34,7.55,"United Kingdom","Europe","Advanced Economies",1,1,2012,1
"28","GRC",73,73,214.199483703431,3.38983050847475,0.0146183223000846,2012,44.053,47.931,3.87799999999999,17924.66,62.39,17.24628067,55.1,2408.76,85.69,7.38,"Greece","Europe","Advanced Economies",1,1,2012,1
"29","HKG",74,74,0,2.8901734104048,0.110993125038607,2012,76.924,126.853,49.929,39887.83,430.57,16.15875053,72.9,1945,6809.62,6.24,"Hong Kong SAR","Asia","Advanced Economies",1,1,2010,1
"30","HRV",72,70,357.585244777582,3.41296928327663,0.00392745686516864,2012,9.971,12.725,2.754,11780.53,79,14.98538971,61.9,2020.48,76.13,4.41,"Croatia","Europe","Advanced Economies",1,1,2012,1
"31","HUN",70,72,60.618502739091,3.15457413249229,0.0189471607005626,2012,55.684,57.837,2.15300000000001,11440.76,166.18,15.49135017,70.6,2490.19,109.58,4.8,"Hungary","Europe","Emerging and Developing Economies",0,1,2012,1
"32","IDN",74,74,0,2.03252032520334,0.114726136652099,2012,167.315,194.172,26.857,2930.52,49.58,13.29708958,14.5,680.55,134.59,2,"Indonesia","Asia","Emerging and Developing Economies",0,0,2013,1
"33","IND",74,74,0,1.05932203389833,0.204837624000871,2012,498.853,439.134,-59.719,1333.1,55.79,11.76546955,11.1,572.13,430.07,1.58,"India","Asia","Emerging and Developing Economies",0,1,2012,1
"34","IRL",73,72,0,2.29357798165146,0.0362765056640895,2012,60.163,54.107,-6.056,47217.44,190.06,18.13200951,76.9,2858.92,66.77,8.17,"Ireland","Europe","Advanced Economies",1,0,2013,1
"35","ISL",67,63,410.218726328711,3.48432055749146,0.00210948021785591,2012,5.243,3.61,-1.633,49191.57,104.09,19.17963982,96.2,17633.65,3.2,11.37,"Iceland","Europe","Advanced Economies",1,0,2013,1
"36","ISR",73,72,0,2.62467191601056,0.0296472078376234,2012,26.654,50.765,24.111,34738.66,69.97,15.0644598,70.8,2968.59,365.55,9.82,"Israel","Asia","Advanced Economies",1,0,2014,1
"37","ITA",74,74,0,2.55754475703332,0.121925169558588,2012,221.973,338.374,116.401,30953.41,54.88,16.17153931,55.8,2680.46,203.54,6.56,"Italy","Europe","Advanced Economies",1,1,2012,1
"38","JOR",67,69,123.653445144467,3.27868852459035,0.00661947490918264,2012,10.108,16.945,6.837,4677.48,117.86,12.89628983,37,1034.5,85.46,3.23,"Jordan","Asia","Emerging and Developing Economies",0,0,2014,1
"39","JPN",74,74,0,1.47928994082845,0.455803868586128,2012,309.803,747.511,437.708,33518.44,30.47,15.36403029,79.5,3536.7,350.15,10.27,"Japan","Asia","Advanced Economies",1,1,2010,1
"40","KAZ",69,68,8.77348572480151,2.93255131964826,0.027891823217238,2012,127.399,63.069,-64.33,9531.91,73.72,14.78635025,61.9,4270.24,6.41,15.44,"Kazakhstan","Asia","Emerging and Developing Economies",0,1,2012,1
"41","KHM",54,71,722.549071104334,3.61010830324928,0.00499468151774487,2012,11.558,7.903,-3.655,1295.25,116.74,11.09369857,4.94,334.03,84.67,0.38,"Cambodia","Asia","Emerging and Developing Economies",0,0,2015,1
"42","KOR",74,74,0,1.14285714285716,0.303917702880372,2012,431.492,487.022,55.53,26680.28,105.46,16.75774956,84.1,5122.94,515.88,12.59,"Korea","Asia","Advanced Economies",1,1,2011,1
"43","LAO",42,49,1460.68874586026,3.62318840579728,0.00349914350761278,2012,6.904,6.555,-0.348999999999999,1774.64,98.19,10.52556038,10.7,430.52,28.25,0.51,"Lao P.D.R.","Asia","Emerging and Developing Economies",0,0,2017,1
"44","LTU",67,70,143.159522666876,3.09597523219832,0.00528986080243509,2012,17.432,20.131,2.699,12516.62,156.64,16.95055962,67.2,2468.16,47.69,4.85,"Lithuania","Europe","Advanced Economies",1,1,2011,1
"45","LUX",74,73,4.03874269005848,2.91545189504389,0.00758727342048074,2012,16.344,16.247,-0.0970000000000013,104487.74,311.79,13.98029041,91.9,7723.78,206.24,20.47,"Luxembourg","Europe","Advanced Economies",1,1,2012,1
"46","LVA",62,68,546.354486157118,3.18471337579635,0.00236962563430956,2012,8.184,10.757,2.573,11971.01,133.21,15.62761974,73.1,2171.08,32.69,3.95,"Latvia","Europe","Advanced Economies",1,1,2011,1
"47","MAR",71,73,15.4166167166167,3.30033003300348,0.0135097760314098,2012,19.442,32.265,12.823,2927.45,78.22,11.62874985,55.4,559.66,74.74,1.75,"Morocco","Africa","Emerging and Developing Economies",0,0,2015,1
"48","MEX",72,71,3.13138615770195,3.10559006211198,0.337251070570537,2012,193.04,250.15,57.11,9782.52,64.26,13.73157978,39.8,1652.16,60.09,4.33,"Mexico","America","Emerging and Developing Economies",0,1,2012,1
"49","MLT",68,68,331.224262459247,3.31125827814588,0.00180551070733095,2012,4.049,4.519,0.47,21529.49,199.21,15.26603985,68.2,2102.78,1312.59,6.49,"Malta","Europe","Advanced Economies",1,0,2013,1
"50","MMR",60,62,812.205970130661,3.53356890459382,0.00722990509096245,2012,13.725,10.998,-2.727,953.12,100.906712328767,9.967174703,1.4,303.85,76.3,0.25,"Myanmar","Asia","Emerging and Developing Economies",0,0,2013,1
"51","MYS",74,74,0,1.61550888529892,0.0680482673475433,2012,199.242,122.993,-76.249,8710.53,147.84,12.86585999,65.8,2587.43,90.28,7.41,"Malaysia","Asia","Emerging and Developing Economies",0,0,2013,1
"52","NGA",74,64,51.1339826839827,3.1545741324923,0.0329028631547263,2012,116.254,45.83,-70.424,2403.65,100.906712328767,8.680361611,16.1,356.73,193.46,0.58,"Nigeria","Africa","Emerging and Developing Economies",0,0,2013,1
"53","NLD",74,74,16.2007326007326,3.1446540880505,0.0669926627679236,2012,153.687,155.651,1.964,44631.87,149.39,17.9406395,92.9,4599.21,496.88,10.24,"The Netherlands","Europe","Advanced Economies",1,1,2012,1
"54","NOR",74,74,41.7439318851083,3.35570469798676,0.0308385330344714,2012,56.331,66.602,10.271,73661.68,68.5,17.45492935,94.7,5805.47,13.74,9.24,"Norway","Europe","Advanced Economies",1,1,2009,1
"55","NZL",73,74,73.0119786646102,3.27868852459034,0.0163843582008846,2012,36.625,28.047,-8.578,36607.15,56.91,19.33862019,81.6,4280.57,16.74,7.87,"New Zealand","Pacific","Advanced Economies",1,0,2013,1
"56","PAK",68,74,167.82438084791,3.44827586206915,0.0185504154665625,2012,31.636,44.013,12.377,1275.49,31.32,6.139200211,8.1,419.51,269.39,0.76,"Pakistan","Asia","Emerging and Developing Economies",0,0,2014,1
"57","PER",70,68,214.478508093214,3.36700336700355,0.0270802693996709,2012,29.277,35.506,6.229,5740.04,52.62,14.00094795,38.2,731.98,23.09,1.66,"Peru","America","Emerging and Developing Economies",0,0,2014,1
"58","PHL",71,74,123.855027282659,3.37837837837855,0.030423531466401,2012,40.276,54.998,14.722,2533.74,57.84,12.00397377,30.8,437.47,335.97,0.89,"Philippines","Asia","Emerging and Developing Economies",0,1,2011,1
"59","POL",73,74,0,3.24675324675343,0.0526778453365121,2012,148.269,127.446,-20.823,11542.24,88.83,15.70232964,62.3,2563.69,124.3,8.4,"Poland","Europe","Emerging and Developing Economies",0,1,2010,1
"60","PRT",73,73,0,2.9411764705884,0.0120563866353998,2012,34.504,41.157,6.65300000000001,18679.76,75.94,16.3426156,60.3,2039.17,114.8,4.75,"Portugal","Europe","Advanced Economies",1,1,2012,1
"61","ROU",71,73,0,2.95857988165698,0.0108093489396489,2012,44.52,38.451,-6.069,8234.29,76.59,14.68935966,45.9,1736.58,87.2,4.37,"Romania","Europe","Emerging and Developing Economies",0,1,2012,1
"62","RUS",74,74,0,2.55754475703332,0.142530480065111,2012,794.634,308.19,-486.444,9464.01,47.15,14.66079998,66,5056.08,8.75,12.69,"Russia","Asia","Emerging and Developing Economies",0,1,2012,1
"63","SAU",74,74,0,2.10526315789481,0.0807145535949589,2012,161.925,145.813,-16.112,23643.03,81.74,13.40623784,54,7862.42,12.17,20.61,"Saudi Arabia","Asia","Emerging and Developing Economies",0,1,2011,1
"64","SEN",59,60,706.671268961517,3.30033003300348,0.00153549355045728,2012,3.143,4.703,1.56,1154.06,61.98,9.017259598,10.8,302.42,69.13,0.55,"Senegal","Africa","Emerging and Developing Economies",0,0,NA,0
"65","SGP",74,74,0,1.7152658662093,0.0785733161583114,2012,203.72,170.847,-32.873,51679.35,369.21,17.30229923,72,4787.02,7524.7,9.44,"Singapore","Asia","Advanced Economies",1,1,2011,1
"66","SVK",74,70,40.290438216754,3.0864197530866,0.0144934318536937,2012,45.883,45.516,-0.367000000000004,15159.66,176.97,15.15810966,76.7,3220.51,112.45,6.68,"Slovak Republic","Europe","Advanced Economies",1,1,2012,1
"67","SVN",71,69,141.970272125535,3.2573289902282,0.00539165422552962,2012,15.235,17.36,2.125,19894.87,143.66,16.95046997,68.4,3428.9,102.11,7.54,"Slovenia","Europe","Advanced Economies",1,1,2012,1
"68","SWE",73,74,2.93373015873016,2.98507462686582,0.0349823422979094,2012,50.026,89.306,39.28,48788.87,85.3,15.91219044,93.2,5295.93,23.37,4.8,"Sweden","Europe","Advanced Economies",1,1,2009,1
