"","iso_o","indegree","outdegree","between","close","eigen","TIME_PERIOD","export","import","net_imp","gdp_pct","trade_openness","schooling","internet","energy","pop_den","co2","country","continent","category","development","LTE_year","adoption_year","adopted"
"1","ARG",69,74,1.475,3.32225913621281,0.0180424565990909,2005,85.063,36.366,-48.697,11099.75,40.55,16.01845932,17.7,1712.43,14.33,3.92,"Argentina","America","Emerging and Developing Economies",0,0,2014,1
"2","AUS",74,74,0,2.35294117647067,0.0766731161522557,2005,155.769,164.967,9.19799999999998,50853.2,39.16,21.60246319,63,5624.5,2.63,19.04,"Australia","Pacific","Advanced Economies",1,0,2011,1
"3","AUT",73,74,0,2.93255131964828,0.0310741653180438,2005,61.579,95.435,33.856,40989.01,94.67,15.60798105,58,4084.35,99.71,9.77,"Austria","Europe","Advanced Economies",1,0,2010,1
"4","BEL",74,74,0,2.97619047619067,0.0711486836939128,2005,124.065,159.089,35.024,38645.26,144.53,18.83530998,55.8,5549.64,345.45,11.37,"Belgium","Europe","Advanced Economies",1,0,2012,1
"5","BGD",70,69,390.562592000363,3.78787878787899,0.00958530713461185,2005,11.115,29.183,18.068,739.2,34.4,8.579440117,0.24,159.83,1111.74,0.28,"Bangladesh","Asia","Emerging and Developing Economies",0,0,2013,1
"6","BGR",73,73,3.48333333333333,3.24675324675344,0.00389498989281001,2005,27.39,18.374,-9.016,5231.34,99.71,14.02011013,20,2599.19,70.5,6.85,"Bulgaria","Europe","Emerging and Developing Economies",0,0,2014,1
"7","BLR",66,73,149.212978524743,3.41296928327665,0.00594767796066542,2005,45.573,39.052,-6.521,3877.72,118.88,14.89752007,34.6481081081081,2777,47.64,6.21,"Belarus","Europe","Emerging and Developing Economies",0,0,2011,1
"8","BRA",74,74,0,3.41296928327665,0.0536323438910815,2005,266.874,112.89,-153.984,7409.57,27.09,14.8488588,21,1173.72,22.1,2,"Brazil","America","Emerging and Developing Economies",0,0,2011,1
"9","BRN",72,37,914.7017093115,3.80228136882149,0.000852827460547912,2005,3.568,2.291,-1.277,37312.28,81.62,12.88778973,36.5,6180.9,68.11,16.74,"Brunei Darussalam","Asia","Emerging and Developing Economies",0,0,2013,1
"10","CAN",74,74,0,1.4124293785311,0.436021622457976,2005,381.124,320.42,-60.704,41006.22,69.76,15.36077581,71.7,8369.96,3.6,18.02,"Canada","America","Advanced Economies",1,0,2011,1
"11","CHE",74,74,0,2.54452926208659,0.0386940987199241,2005,34.549,88.526,53.977,76282.98,102.26,15.22286034,70.1,3469.42,188.2,6.33,"Switzerland","Europe","Advanced Economies",1,0,2012,1
"12","CHL",73,73,40.5867063492063,3.52112676056358,0.0219259148408743,2005,38.318,44.82,6.502,10104.42,72.06,14.38132,31.2,1735.09,21.99,3.62,"Chile","America","Emerging and Developing Economies",0,0,2013,1
"13","CHN",74,74,0,0.9416195856874,0.238817403187833,2005,1978.369,646.454,-1331.915,3465.82,61.36,11.54452419,8.52,1369.79,138.87,4.81,"China","Asia","Emerging and Developing Economies",0,0,2013,1
"14","CIV",66,69,212.771158579982,3.59712230215847,0.00201280886939311,2005,7.516,7.079,-0.437,1431.73,62.82,7.128867912,1.04,479.37,63.11,0.32,"Côte d'Ivoire","Africa","Emerging and Developing Economies",0,0,2016,1
"15","CMR",64,56,405.924440836941,3.57142857142877,0.00188171976246742,2005,5.17,5.644,0.474,1264.74,45,8.567790031,1.4,428.54,36.12,0.32,"Cameroon","Africa","Emerging and Developing Economies",0,0,2016,1
"16","COL",71,72,210.85638511815,3.63636363636383,0.0271364842523831,2005,32.022,32.773,0.751000000000005,4457.28,37.42,13.17887974,11,652.56,37.97,1.45,"Colombia","America","Emerging and Developing Economies",0,0,2012,1
"17","CRI",62,64,251.394319607981,3.66300366300386,0.00861028924789112,2005,6.921,9.792,2.871,8655.34,89.22,12.34011868,22.1,908.92,83.46,1.49,"Costa Rica","America","Emerging and Developing Economies",0,0,2013,1
"18","CYP",68,70,340.812007681861,3.6900369003692,0.00172352718517761,2005,4.18,6.953,2.773,25631.37,111.92,13.36178017,32.8,2161.54,112.14,7.63,"Cyprus","Europe","Advanced Economies",1,0,2015,1
"19","CZE",73,73,0,2.35849056603782,0.0200199897001247,2005,83.04,68.785,-14.255,15147.72,121.19,15.25259018,35.3,4431.37,132.17,12.64,"Czech Republic","Europe","Advanced Economies",1,0,2012,1
"20","DEU",74,74,0,0.732600732600744,0.226631101837101,2005,442.274,665.766,223.492,36006.86,66.95,16.52160501,68.7,4109.88,236.46,10.21,"Germany","Europe","Advanced Economies",1,0,2011,1
"21","DNK",73,74,0,1.50375939849626,0.0232579373378244,2005,80.238,69.002,-11.236,52015.18,89.4,16.77968979,82.7,3484.59,135.49,9.35,"Denmark","Europe","Advanced Economies",1,0,2010,1
"22","EGY",73,74,0,3.28947368421072,0.0165235456767194,2005,52.032,45.028,-7.004,2635.7,62.95,10.83143012,12.8,778.77,81.47,2.2,"Egypt","Africa","Emerging and Developing Economies",0,0,2017,1
"23","ESP",74,74,0,2.4449877750612,0.0933783947689807,2005,168.472,279.367,110.895,26294.45,54.7,15.98174,47.9,3239.54,87.47,8.49,"Spain","Europe","Advanced Economies",1,0,2013,1
"24","EST",68,70,115.67886974137,3.63636363636383,0.00202342071497406,2005,10.326,9.306,-1.02,14703.62,135.91,16.49143982,61.5,4015.43,31.96,14.3,"Estonia","Europe","Advanced Economies",1,0,2010,1
"25","FIN",73,74,22.4014161277319,3.41296928327665,0.0210985035489116,2005,54.37,72.135,17.765,42529.35,76.59,17.19054985,74.5,6555.78,17.22,11.1,"Finland","Europe","Advanced Economies",1,0,2010,1
"26","FRA",74,74,0,2.07468879668059,0.16558120719443,2005,233.864,437.803,203.939,34946.04,55.82,15.43264008,42.9,4313.7,117.23,6.46,"France","Europe","Advanced Economies",1,0,2012,1
"27","GBR",74,74,0,0.879507475813554,0.204448739398327,2005,218.026,456.689,238.663,43023.23,52.68,16.61335945,70,3689.55,249.66,9.26,"United Kingdom","Europe","Advanced Economies",1,0,2012,1
"28","GRC",73,74,0,3.09597523219833,0.0217631446165555,2005,38.387,67.812,29.425,21880.53,50.36,16.32467079,24,2758.67,85.24,9.43,"Greece","Europe","Advanced Economies",1,0,2012,1
"29","HKG",74,74,0,2.81690140845088,0.0570482521106198,2005,69.731,104.001,34.27,32401.4,342.69,13.84333038,56.9,1864.71,6488.76,6.31,"Hong Kong SAR","Asia","Advanced Economies",1,0,2010,1
"30","HRV",72,72,85.7967397368713,3.64963503649655,0.00423318467948902,2005,10.642,17.835,7.193,11522.4,81.49,14.34375954,33.1,2260.51,77.02,5.3,"Croatia","Europe","Advanced Economies",1,0,2012,1
"31","HUN",73,73,36.5761904761905,3.42465753424677,0.0186321961022303,2005,52.912,63.665,10.753,11272.73,128,15.3645401,39,2781.01,112.57,6.07,"Hungary","Europe","Emerging and Developing Economies",0,0,2012,1
"32","IDN",74,74,0,2.96735905044528,0.0513933833468695,2005,178.761,113.744,-65.017,2155.45,63.99,11.23674011,3.6,637.33,122.97,1.57,"Indonesia","Asia","Emerging and Developing Economies",0,0,2013,1
"33","IND",74,74,0,2.66666666666674,0.075139886357689,2005,276.113,248.214,-27.899,947.73,42,10.02910471,2.39,425.37,388.36,1.05,"India","Asia","Emerging and Developing Economies",0,0,2012,1
"34","IRL",74,74,0,2.51889168765751,0.0421374573235359,2005,53.673,57.574,3.901,50599.6,148.18,17.55994034,41.6,3513.16,60.38,11.32,"Ireland","Europe","Advanced Economies",1,0,2013,1
"35","ISL",68,65,355.385569822335,3.7174721189593,0.00289036821767279,2005,3.618,5.106,1.488,48850.77,72.45,18.1415596,87,10877.23,2.96,10.54,"Iceland","Europe","Advanced Economies",1,0,2013,1
