"","iso_o","indegree","outdegree","between","close","eigen","TIME_PERIOD","export","import","net_imp","gdp_pct","trade_openness","schooling","internet","energy","pop_den","co2","country","continent","category","development","LTE_year","adoption_year","adopted"
"1","ARG",71,73,29.1903069153069,4.21940928270073,0.0351372573727576,2010,78.324,49.857,-28.467,13387.16,34.97,17.02877998,45,1826.05,15.09,4.3,"Argentina","America","Emerging and Developing Economies",0,0,2014,1
"2","AUS",74,74,0,2.80112044817938,0.112986062163267,2010,156.956,190.99,34.034,53578.81,40.52,22.42507193,76,5762.94,2.87,18.85,"Australia","Pacific","Advanced Economies",1,0,2011,1
"3","AUT",73,73,0,3.63636363636392,0.0416214944784423,2010,69.644,98.029,28.385,43035.41,99.64,16.12933922,75.2,4065.04,101.35,8.82,"Austria","Europe","Advanced Economies",1,1,2010,1
"4","BEL",73,73,0,2.83286118980181,0.0661440635216367,2010,112.801,145.465,32.664,39991.56,150.16,19.21767998,77.6,5510.37,359.2,10.55,"Belgium","Europe","Advanced Economies",1,0,2012,1
"5","BGD",72,69,152.268668831169,4.32900432900465,0.0187248295617518,2010,14.899,38.355,23.456,943.66,37.8,9.298855373,3.7,195.59,1169.26,0.4,"Bangladesh","Asia","Emerging and Developing Economies",0,0,2013,1
"6","BGR",67,72,85.9216380841381,3.87596899224836,0.00536277892634396,2010,35.945,24.036,-11.909,6428.72,103.38,14.48367023,46.2,2393.89,68.12,6.69,"Bulgaria","Europe","Emerging and Developing Economies",0,0,2014,1
"7","BLR",70,72,17.074913974914,4.08163265306153,0.0130894526478383,2010,42.811,45.162,2.351,5616.09,115.92,15.55224037,31.8,2895.61,46.74,6.97,"Belarus","Europe","Emerging and Developing Economies",0,0,2011,1
"8","BRA",74,73,15.5210678210678,3.77358490566067,0.131510579799159,2010,228.712,203.245,-25.467,8792.63,22.77,15.10896198,40.7,1384.37,23.18,2.27,"Brazil","America","Emerging and Developing Economies",0,0,2011,1
"9","BRN",54,37,1815.1729007104,5.20833333333368,0.00132702174823533,2010,4.969,2.739,-2.23,33121.32,95.37,13.87399006,53,8261.09,74.45,18.81,"Brunei Darussalam","Asia","Emerging and Developing Economies",0,0,2013,1
"10","CAN",74,74,0,3.57142857142885,0.438327735297844,2010,337.544,312.512,-25.032,41164.34,60.21,15.17741013,80.3,7660.75,3.79,16.51,"Canada","America","Advanced Economies",1,0,2011,1
"11","CHE",74,74,0,2.95857988165691,0.0519107783039819,2010,46.202,102.61,56.408,81315.42,120.07,15.6798296,83.9,3323.41,198.03,5.92,"Switzerland","Europe","Advanced Economies",1,0,2012,1
"12","CHL",72,72,86.704279054279,4.29184549356255,0.0392816247548929,2010,45.154,52.941,7.78700000000001,11649.29,69.72,15.09842968,45,1795.68,23.11,4.21,"Chile","America","Emerging and Developing Economies",0,0,2013,1
"13","CHN",74,74,0,0.487329434697861,0.407975231918681,2010,2105.528,907.501,-1198.027,5764.87,49.85,13.04319954,34.3,1899.8,142.49,6.83,"China","Asia","Emerging and Developing Economies",0,0,2013,1
"14","CIV",69,65,292.258596958597,4.34782608695683,0.00271384745311744,2010,6.499,6.912,0.413,1540.53,67.47,7.770457713,2.7,369.59,70.72,0.33,"Côte d'Ivoire","Africa","Emerging and Developing Economies",0,0,2016,1
"15","CMR",67,60,322.98273948274,4.0000000000003,0.00239779660278979,2010,6.235,5.355,-0.88,1290.9,47.24,10.37228012,4.3,356.14,41.61,0.4,"Cameroon","Africa","Emerging and Developing Economies",0,0,2016,1
"16","COL",72,67,7.11856060606061,3.703703703704,0.0360754134420277,2010,34.344,39.597,5.253,5214.25,34.26,14.41386032,36.5,700.7,40.36,1.47,"Colombia","America","Emerging and Developing Economies",0,0,2012,1
"17","CRI",62,67,581.749597624597,4.80769230769264,0.0120138424465858,2010,5.895,9.879,3.984,10285.09,67.51,13.69601127,36.5,998.69,89.23,1.59,"Costa Rica","America","Emerging and Developing Economies",0,0,2013,1
"18","CYP",67,69,58.0061688311688,3.96825396825427,0.00245409702913903,2010,3.578,6.575,2.997,26090.05,108.9,13.99242973,53,2192.47,122.06,7.02,"Cyprus","Europe","Advanced Economies",1,0,2015,1
"19","CZE",73,71,78.8242424242424,3.83141762452136,0.0351070788311298,2010,86.723,79.183,-7.54000000000001,16665.93,126.76,16.21603012,68.8,4308.57,135.63,11.55,"Czech Republic","Europe","Advanced Economies",1,0,2012,1
"20","DEU",74,74,0,1.79533213644531,0.298645694221353,2010,511.584,696.33,184.746,38517.44,73.86,16.87987036,82,4029.83,234.61,9.97,"Germany","Europe","Advanced Economies",1,0,2011,1
"21","DNK",74,74,0,3.95256916996078,0.0278321461889269,2010,79.715,61.119,-18.596,51209.45,94.39,16.89028931,88.7,3498.02,138.69,8.75,"Denmark","Europe","Advanced Economies",1,1,2010,1
"22","EGY",72,73,1.42857142857143,3.74531835206021,0.0278870169471296,2010,45.864,52.33,6.466,3233.85,47.94,11.19958019,21.6,838.17,89.6,2.37,"Egypt","Africa","Emerging and Developing Economies",0,0,2017,1
"23","ESP",74,74,0,3.57142857142885,0.104544132929185,2010,151.506,232.108,80.602,25766.25,52.69,16.40280914,65.8,2735.18,93.15,6.25,"Spain","Europe","Advanced Economies",1,0,2013,1
"24","EST",67,70,161.672981185481,4.34782608695684,0.00270908555491604,2010,13.122,8.266,-4.856,14657.94,143.67,16.50847054,74.1,4419.42,31.41,16.19,"Estonia","Europe","Advanced Economies",1,1,2010,1
"25","FIN",72,73,0,3.57142857142885,0.025454684057404,2010,54.083,58.817,4.734,43556.54,75.46,17.02306938,86.9,6812.6,17.65,12.28,"Finland","Europe","Advanced Economies",1,1,2010,1
"26","FRA",74,74,0,2.34741784037571,0.189051622585739,2010,215.621,402.906,187.285,35578.2,56.59,15.38066006,77.3,4040.44,120.65,5.81,"France","Europe","Advanced Economies",1,0,2012,1
"27","GBR",74,74,0,2.34741784037571,0.195686796018695,2010,199.937,367.287,167.35,42311.43,59.27,16.45923996,85,3235.05,259.44,7.98,"United Kingdom","Europe","Advanced Economies",1,0,2012,1
"28","GRC",72,72,0,3.62318840579739,0.0217033004111541,2010,43.119,60.371,17.252,21547.72,50.92,16.86330986,44.4,2487.53,86.28,8.01,"Greece","Europe","Advanced Economies",1,0,2012,1
"29","HKG",74,74,0,3.14465408805056,0.085625091771869,2010,79.678,110.039,30.361,38090.03,404.77,15.82145977,72,1922.62,6689.71,6.01,"Hong Kong SAR","Asia","Advanced Economies",1,1,2010,1
