"","iso_o","indegree","outdegree","between","close","eigen","TIME_PERIOD","export","import","net_imp","gdp_pct","trade_openness","schooling","internet","energy","pop_den","co2","country","continent","category","development","LTE_year","adoption_year","adopted"
"1","ARG",70,74,22.3872915655036,3.90625000000024,0.0117024988409001,2002,87.26,17.889,-69.371,8861.56,41.75,16.39250946,10.9,1484.26,13.9,3.26,"Argentina","America","Emerging and Developing Economies",0,0,2014,1
"2","AUS",73,74,0,3.08641975308666,0.0668181211962692,2002,162.095,103.596,-58.499,47486.28,41.45,21.10889795,23.694054054054,5480.23,2.54,18.91,"Australia","Pacific","Advanced Economies",1,0,2011,1
"3","AUT",73,74,0,3.78787878787904,0.0301566582783346,2002,54.633,81.544,26.911,39313.72,87.58,15.38293775,36.6,3771.72,97.94,9.06,"Austria","Europe","Advanced Economies",1,0,2010,1
"4","BEL",73,74,0,3.26797385620939,0.0653011961546863,2002,112.474,128.581,16.107,36600.86,136.09,18.48284912,46.3,5397.65,340.65,11.47,"Belgium","Europe","Advanced Economies",1,0,2012,1
"5","BGD",70,64,536.930777199237,4.3478260869568,0.00764170532895252,2002,7.871,23.493,15.622,655.67,28.97,7.971572113,0.14,147.98,1067.32,0.25,"Bangladesh","Asia","Emerging and Developing Economies",0,0,2013,1
"6","BGR",71,72,14.9899322899323,3.80228136882155,0.0023661688369603,2002,21.176,12.105,-9.071,4260.4,75.27,13.19983006,9.08,2410.07,72.03,6.07,"Bulgaria","Europe","Emerging and Developing Economies",0,0,2014,1
"7","BLR",69,74,115.934686512318,3.96825396825424,0.00570440569391117,2002,46.24,45.216,-1.02400000000001,2910.4,131,13.99739679,8.95,2560.5,48.64,5.59,"Belarus","Europe","Emerging and Developing Economies",0,0,2011,1
"8","BRA",73,74,0.333065953654189,3.67647058823555,0.0534443488609488,2002,248.252,104.001,-144.251,6944.62,27.62,14.69495116,9.15,1103.4,21.36,1.97,"Brazil","America","Emerging and Developing Economies",0,0,2011,1
"9","BRN",50,28,1315.21119672381,4.46428571428598,0.00135080959814231,2002,2.681,2.52,-0.161,37976.26,93.22,11.85077953,15.3,6344.71,64.53,16.34,"Brunei Darussalam","Asia","Emerging and Developing Economies",0,0,2013,1
"10","CAN",74,74,0,2.7027027027028,0.476979550224484,2002,385.57,261.362,-124.208,38921.67,75.71,15.59982409,61.6,7943.45,3.5,17.67,"Canada","America","Advanced Economies",1,0,2011,1
"11","CHE",74,74,0,3.44827586206919,0.0450739763644279,2002,35.212,91.778,56.566,73824.38,91.78,14.96234989,61.4,3537.54,184.33,6.12,"Switzerland","Europe","Advanced Economies",1,0,2012,1
"12","CHL",69,74,91.3624224416794,4.29184549356251,0.016628402966367,2002,28.739,34.167,5.428,8810.69,62.48,13.52595043,22.1,1612.43,21.33,3.29,"Chile","America","Emerging and Developing Economies",0,0,2013,1
"13","CHN",74,74,0,1.0427528675704,0.172699285275001,2002,906.979,426.46,-480.519,2610.73,42.19,10.5064764,4.6,976.16,136.38,3.24,"China","Asia","Emerging and Developing Economies",0,0,2013,1
