"","iso_o","indegree","outdegree","between","close","eigen","TIME_PERIOD","export","import","net_imp","gdp_pct","trade_openness","schooling","internet","energy","pop_den","co2","country","continent","category","development","LTE_year","adoption_year","adopted"
"1","ARG",72,74,10.8850038850039,3.93700787401601,0.0175193467618667,2004,83.397,33.429,-49.968,10302.45,40.69,16.29898071,16,1740.91,14.18,3.86,"Argentina","America","Emerging and Developing Economies",0,0,2014,1
"2","AUS",74,74,0,2.53807106598996,0.0748338819428688,2004,149.908,147.551,-2.35700000000003,49902.02,37.01,21.43794145,31.496301369863,5652.13,2.59,19.16,"Australia","Pacific","Advanced Economies",1,0,2011,1
"3","AUT",73,74,0,3.81679389313003,0.0311353719128914,2004,58.747,89.134,30.387,40333.33,91.47,15.53296661,54.3,3974.51,99.03,9.74,"Austria","Europe","Advanced Economies",1,0,2010,1
"4","BEL",73,74,0,2.3696682464456,0.0671486070237453,2004,115.325,142.398,27.073,37976.7,136.92,18.48070908,53.9,5615.41,343.56,11.71,"Belgium","Europe","Advanced Economies",1,0,2012,1
"5","BGD",69,68,296.946852236047,4.2194092827007,0.00939248577198099,2004,10.081,27.45,17.369,702.66,26.86,8.376817449,0.2,154.24,1097.82,0.27,"Bangladesh","Asia","Emerging and Developing Economies",0,0,2013,1
"6","BGR",70,73,30.622853997854,3.89105058365785,0.00342711474544457,2004,26.528,15.46,-11.068,4849.87,93.06,13.87141991,18.1,2439.64,70.95,6.67,"Bulgaria","Europe","Emerging and Developing Economies",0,0,2014,1
"7","BLR",70,73,54.3553108727022,3.81679389313004,0.00670756488317662,2004,50.212,50.039,-0.173000000000009,3520.4,142.14,14.75090027,31.496301369863,2760.12,47.98,6.08,"Belarus","Europe","Emerging and Developing Economies",0,0,2011,1
"8","BRA",73,74,2.45,3.95256916996073,0.0520615915134096,2004,288.694,110.725,-177.969,7258.78,29.68,14.79737798,19.1,1157.17,21.86,2,"Brazil","America","Emerging and Developing Economies",0,0,2011,1
"9","BRN",52,32,1532.67910033866,4.83091787439642,0.00107939217866152,2004,3.4,2.363,-1.037,37948.66,84.88,12.60894012,29.7,6509.41,66.97,17.76,"Brunei Darussalam","Asia","Emerging and Developing Economies",0,0,2013,1
"10","CAN",74,74,0,3.57142857142883,0.438244309348628,2004,373.624,298.884,-74.74,40108.76,70.19,15.44045857,66,8371.02,3.56,17.53,"Canada","America","Advanced Economies",1,0,2011,1
"11","CHE",73,74,0,2.8169014084508,0.0401876939404476,2004,36.241,87.793,51.552,74718.68,95.52,15.18083,67.8,3513.04,186.99,6.28,"Switzerland","Europe","Advanced Economies",1,0,2012,1
"12","CHL",72,74,76.0624919198449,4.14937759336127,0.0185113904208201,2004,35.697,38.844,3.147,9642.37,69.89,14.06828022,28.2,1699.73,21.77,3.61,"Chile","America","Emerging and Developing Economies",0,0,2013,1
"13","CHN",74,74,0,0.924214417744927,0.251917948251986,2004,1613.676,612.049,-1001.627,3127.86,58.64,11.19850826,7.3,1249.04,138.05,4.26,"China","Asia","Emerging and Developing Economies",0,0,2013,1
"14","CIV",64,67,94.9246909491475,3.89105058365785,0.00190664876936369,2004,8.196,6.056,-2.14,1451.87,58.12,7.000549952,0.85,474.64,61.62,0.31,"Côte d'Ivoire","Africa","Emerging and Developing Economies",0,0,2016,1
"15","CMR",65,59,297.965017417223,4.32900432900461,0.00157844244414966,2004,5.262,4.406,-0.856,1271.74,41.84,8.608369827,0.98,437.08,35.14,0.34,"Cameroon","Africa","Emerging and Developing Economies",0,0,2016,1
"16","COL",72,71,31.6082782957783,3.84615384615412,0.0260133819824583,2004,32.257,29.758,-2.499,4311.92,35.86,12.65600014,9.12,631.89,37.44,1.43,"Colombia","America","Emerging and Developing Economies",0,0,2012,1
"17","CRI",52,65,145.56096769575,4.42477876106223,0.00875349786689658,2004,6.708,9.395,2.687,8445.53,85.26,12.06894016,20.8,921.92,82.26,1.47,"Costa Rica","America","Emerging and Developing Economies",0,0,2013,1
"18","CYP",70,71,231.252943468864,4.09836065573798,0.00214635785478622,2004,4.73,7.493,2.763,24799.65,113.9,13.46362972,33.8,2162.85,110.16,7.65,"Cyprus","Europe","Advanced Economies",1,0,2015,1
"19","CZE",73,73,0.82324016563147,3.78787878787906,0.0193638730887828,2004,76.424,61.305,-15.119,14259.63,113.17,14.99580002,35.5,4486.67,131.98,12.9,"Czech Republic","Europe","Advanced Economies",1,0,2012,1
"20","DEU",74,74,0,0.605693519079349,0.227152877763687,2004,429.2,640.505,211.305,35670.49,62.91,16.44995195,64.7,4131.61,236.59,10.47,"Germany","Europe","Advanced Economies",1,0,2011,1
"21","DNK",74,74,0,3.57142857142883,0.0200651405462062,2004,64.433,59.902,-4.53099999999999,50956.3,82.01,16.51910973,80.9,3598.35,135.11,10.02,"Denmark","Europe","Advanced Economies",1,0,2010,1
"22","EGY",73,74,0,3.92156862745124,0.016451064600611,2004,47.878,35.639,-12.239,2574.42,57.82,10.78256035,11.9,692.14,79.84,2.02,"Egypt","Africa","Emerging and Developing Economies",0,0,2017,1
"23","ESP",74,74,0,3.57142857142883,0.0956996007196531,2004,162.299,264.846,102.547,25825.31,54.48,15.93443966,44,3226.29,85.98,8.28,"Spain","Europe","Advanced Economies",1,0,2013,1
"24","EST",68,70,197.463828090778,4.38596491228098,0.00181652101411348,2004,9.823,9.496,-0.327,13348.53,129.95,16.25458908,53.2,3952.34,32.14,14.24,"Estonia","Europe","Advanced Economies",1,0,2010,1
"25","FIN",73,73,0,4.09836065573798,0.0199905308971353,2004,57.347,64.463,7.11599999999999,41521.96,70.97,17.11433983,72.4,7129,17.16,13.47,"Finland","Europe","Advanced Economies",1,0,2010,1
"26","FRA",74,74,0,3.57142857142883,0.169627859906626,2004,224.107,413.295,189.188,34557.15,53.75,14.85523987,39.2,4327.2,116.35,6.47,"France","Europe","Advanced Economies",1,0,2012,1
"27","GBR",74,74,0,2.00400801603211,0.215456686377277,2004,213.708,448.734,235.026,42167.36,50.45,16.55471992,65.6,3697.5,247.96,9.35,"United Kingdom","Europe","Advanced Economies",1,0,2012,1
"28","GRC",73,73,7.54512293262293,3.61010830324935,0.0239342440549184,2004,38.162,65.201,27.039,21688.11,49.83,15.57777977,21.4,2717.47,84.99,9.27,"Greece","Europe","Advanced Economies",1,0,2012,1
"29","HKG",73,74,0,2.84900284900295,0.0644874011312779,2004,66.67,104.713,38.043,30304.33,326.84,13.69073009,56.4,1823.01,6460.48,6.01,"Hong Kong SAR","Asia","Advanced Economies",1,0,2010,1
