"","iso_o","indegree","outdegree","between","close","eigen","TIME_PERIOD","export","import","net_imp","gdp_pct","trade_openness","schooling","internet","energy","pop_den","co2","country","continent","category","development","LTE_year","adoption_year","adopted"
"1","ARG",70,74,17.2986624486624,4.0322580645164,0.0195908711426665,2006,89.266,40.777,-48.489,11870.28,40.43,16.17373085,20.9,1784.02,14.48,4.1,"Argentina","America","Emerging and Developing Economies",0,0,2014,1
"2","AUS",74,74,0,2.48756218905483,0.0750203369449433,2006,162.273,167.53,5.25700000000001,51553.97,41.56,21.76698494,66,5775.12,2.66,19.08,"Australia","Pacific","Advanced Economies",1,0,2011,1
"3","AUT",73,74,0,3.87596899224832,0.0332014645450195,2006,64.812,99.032,34.22,42120.16,98.79,15.68299548,63.6,4105.08,100.2,9.47,"Austria","Europe","Advanced Economies",1,0,2010,1
"4","BEL",74,74,0,3.66300366300391,0.0642455665607174,2006,130.956,166.214,35.258,39371.09,149.57,19.05407906,62,5445.57,347.74,11.02,"Belgium","Europe","Advanced Economies",1,0,2012,1
"5","BGD",68,70,214.529434454434,3.98406374502019,0.00916589550625698,2006,11.841,28.644,16.803,779.42,38.11,8.65802002,1,168.32,1124.73,0.3,"Bangladesh","Asia","Emerging and Developing Economies",0,0,2013,1
"6","BGR",69,72,36.4621794871795,3.69003690036926,0.00450394395454171,2006,29.456,21.787,-7.669,5629.8,111.05,14.08423996,27.1,2696.78,69.97,7.11,"Bulgaria","Europe","Emerging and Developing Economies",0,0,2014,1
"7","BLR",70,74,85.2022588522589,3.62318840579735,0.00752177262413308,2006,46.912,42.682,-4.23,4291.69,124.3,15.05309963,16.2,2974.25,47.34,6.5,"Belarus","Europe","Emerging and Developing Economies",0,0,2011,1
"8","BRA",74,74,0,4.00000000000026,0.0589935406113349,2006,254.798,128.733,-126.065,7622.04,26.04,14.90051873,28.2,1202.06,22.33,2,"Brazil","America","Emerging and Developing Economies",0,0,2011,1
"9","BRN",62,38,1805.49949217449,5.00000000000027,0.000978951783605976,2006,5.197,2.67,-2.527,38229.36,81.57,13.25531006,42.2,8644.26,69.2,23.63,"Brunei Darussalam","Asia","Emerging and Developing Economies",0,0,2013,1
"10","CAN",74,74,0,1.21802679658955,0.43840056650571,2006,374.394,329.218,-45.1760000000001,41663.51,68.05,15.28109305,72.4,8427.44,3.63,17.61,"Canada","America","Advanced Economies",1,0,2011,1
