"","iso_o","indegree","outdegree","between","close","eigen","TIME_PERIOD","export","import","net_imp","gdp_pct","trade_openness","schooling","internet","energy","pop_den","co2","country","continent","category","development","LTE_year","adoption_year","adopted"
"1","ARG",72,73,0,2.63852242744076,0.0349532508399555,2015,57.852,56.138,-1.71400000000001,13679.63,22.49,17.58465958,68,1919.76,15.89,4.51,"Argentina","America","Emerging and Developing Economies",0,1,2014,1
"2","AUS",74,74,0,2.26757369614526,0.101250906331097,2015,189.995,177.211,-12.784,56739.03,41.66,23.24768066,84.6,5318.67,3.1,16.82,"Australia","Pacific","Advanced Economies",1,1,2011,1
"3","AUT",73,74,0,2.51256281407048,0.0314184751511447,2015,65.024,92.213,27.189,43915.23,103.12,16.03313065,83.9,3795.51,104.73,7.79,"Austria","Europe","Advanced Economies",1,1,2010,1
"4","BEL",74,74,0,2.53807106598997,0.0420558213295301,2015,97.869,126.212,28.343,40893.8,155.07,19.79195976,85.1,4661.66,371.68,9.08,"Belgium","Europe","Advanced Economies",1,1,2012,1
"5","BGD",71,72,78.5515884700095,2.82485875706227,0.0255741072697364,2015,17.728,52.333,34.605,1224.39,42.09,11.04898398,12.9,237.71,1224.42,0.54,"Bangladesh","Asia","Emerging and Developing Economies",0,1,2013,1
"6","BGR",70,73,13.7571194886984,2.7700831024932,0.00486406775162478,2015,41.764,24.769,-16.995,7268.65,126.74,15.60958004,56.7,2637.5,64.34,7.14,"Bulgaria","Europe","Emerging and Developing Economies",0,1,2014,1
"7","BLR",72,73,18.3107142857143,2.68817204301088,0.00906678945435838,2015,47.913,42.68,-5.233,5967.06,115.91,15.26385021,62.2,2660.14,46.61,6.25,"Belarus","Europe","Emerging and Developing Economies",0,1,2011,1
"8","BRA",74,73,0,2.64550264550278,0.102384358476217,2015,319.193,174.353,-144.84,8936.2,26.95,15.24540043,58.3,1482.02,24.13,2.57,"Brazil","America","Emerging and Developing Economies",0,1,2011,1
"9","BRN",62,35,1504.52649222123,3.05810397553529,0.00148103247935546,2015,3.715,3.124,-0.591,30625.13,89.9,14.33631992,71.2,6437,80.12,17.44,"Brunei Darussalam","Asia","Emerging and Developing Economies",0,1,2013,1
"10","CAN",74,74,0,1.73913043478268,0.369900754364081,2015,393.287,283.804,-109.483,43594.19,66.16,15.95269012,90,7690.41,3.98,16.16,"Canada","America","Advanced Economies",1,1,2011,1
"11","CHE",74,74,0,2.50000000000013,0.0455507787772072,2015,46.405,104.517,58.112,83806.45,117.14,16.1556797,87.5,2927.96,209.63,4.86,"Switzerland","Europe","Advanced Economies",1,1,2012,1
"12","CHL",73,74,554.131779185726,2.9761904761906,0.039256287803292,2015,42.008,50.855,8.847,13433.92,59.35,16.39200974,76.6,1968.3,24.33,4.67,"Chile","America","Emerging and Developing Economies",0,1,2013,1
"13","CHN",74,74,0,0.141562853907135,0.513449899677627,2015,2135.819,1293.856,-841.963,8175.33,38.7,13.97832615,50.3,2175.15,146.98,7.81,"China","Asia","Emerging and Developing Economies",0,1,2013,1
"14","CIV",69,59,329.602678607942,2.80898876404507,0.00256889601429081,2015,4.831,6.84,2.009,1814.72,52.71,8.547829628,38.4,383.89,79.39,0.45,"Côte d'Ivoire","Africa","Emerging and Developing Economies",0,0,2016,1
"15","CMR",68,64,798.244380473328,2.95857988165693,0.00330524618835188,2015,8.503,6.754,-1.749,1415,45.54,12.20610046,18.3,402.98,48.16,0.4,"Cameroon","Africa","Emerging and Developing Economies",0,0,2016,1
"16","COL",73,70,138.154921248342,2.76243093922665,0.0434034738047036,2015,41.054,46.871,5.81699999999999,6248.51,38.36,14.64527988,55.9,887.26,42.33,1.78,"Colombia","America","Emerging and Developing Economies",0,1,2012,1
"17","CRI",71,65,427.745185954396,2.95857988165691,0.0112759020763115,2015,5.6,11.835,6.235,11714.71,60.75,14.69305038,59.8,1024.45,94.36,1.61,"Costa Rica","America","Emerging and Developing Economies",0,1,2013,1
"18","CYP",69,70,522.415138370402,2.87356321839093,0.00139178099324209,2015,3.605,4.866,1.261,23487.23,137.28,14.82831001,71.7,1677.4,131.98,5.62,"Cyprus","Europe","Advanced Economies",1,1,2015,1
"19","CZE",73,74,12.7631313131313,2.8011204481794,0.0261638697534982,2015,84.998,75.603,-9.39500000000001,17931.6,154.02,16.95470047,75.7,3982.19,136.59,10.27,"Czech Republic","Europe","Advanced Economies",1,1,2012,1
"20","DEU",74,74,0,1.1933174224344,0.225927728120308,2015,522.529,649.529,127,41911.01,77.79,17.11218071,87.6,3780.85,234.15,9.61,"Germany","Europe","Advanced Economies",1,1,2011,1
"21","DNK",74,74,26.9869769119769,2.61096605744138,0.0209953619455177,2015,74.035,58.521,-15.514,53094.01,105.13,19.2968998,96.3,2847.99,142.09,6,"Denmark","Europe","Advanced Economies",1,1,2010,1
"22","EGY",73,72,4.7820688083846,2.62467191601063,0.0221455123629858,2015,22.273,59.835,37.562,3306.98,34.85,11.88743496,37.8,810.82,100.05,2.4,"Egypt","Africa","Emerging and Developing Economies",0,0,2017,1
"23","ESP",74,74,0,2.53807106598997,0.0766499310770793,2015,164.371,199.369,34.998,25982.44,63.58,17.40423965,78.7,2552.4,92.91,5.93,"Spain","Europe","Advanced Economies",1,1,2013,1
"24","EST",72,70,61.0091741591742,2.7700831024932,0.0027037795911801,2015,12.334,10.562,-1.772,17722.16,148.51,16.04608917,88.4,3695.12,30.26,15.2,"Estonia","Europe","Advanced Economies",1,1,2010,1
"25","FIN",74,74,0,2.33100233100246,0.0155862152442112,2015,37.047,45.54,8.493,42560.35,71.96,19.31086922,86.4,5921.6,18.03,8.39,"Finland","Europe","Advanced Economies",1,1,2010,1
"26","FRA",74,74,0,1.06382978723406,0.149683000379411,2015,201.3,356.606,155.306,36702.43,63.5,15.51356983,78,3799.19,123.48,5,"France","Europe","Advanced Economies",1,1,2012,1
"27","GBR",74,74,0,1.03412616339195,0.165236293166499,2015,165.07,357.221,192.151,44983.89,57.2,17.32836914,92,2774.8,269.04,6.39,"United Kingdom","Europe","Advanced Economies",1,1,2012,1
"28","GRC",72,73,0,2.51256281407048,0.0123672922120271,2015,44.491,45.154,0.662999999999997,17980.73,65.27,18.29533005,66.8,2148.05,83.95,6.42,"Greece","Europe","Advanced Economies",1,1,2012,1
"29","HKG",73,74,0,2.45098039215699,0.102289680092432,2015,71.452,119.446,47.994,42432.16,389.41,16.3966198,84.9,2030.17,6944.1,6.07,"Hong Kong SAR","Asia","Advanced Economies",1,1,2010,1
"30","HRV",70,70,80.237012987013,2.61780104712055,0.00242408851899722,2015,10.596,12.388,1.792,12285.3,90.64,15.61137962,69.8,2018.54,74.19,4.34,"Croatia","Europe","Advanced Economies",1,1,2012,1
"31","HUN",70,72,65.9825757575758,2.84900284900298,0.015271147466583,2015,54.865,53.804,-1.061,12782.94,167.29,15.31861973,72.8,2571.15,107.36,4.85,"Hungary","Europe","Emerging and Developing Economies",0,1,2012,1
"32","IDN",74,74,0,1.85185185185192,0.0850664938084766,2015,167.453,150.516,-16.937,3288.22,41.94,13.63879967,22.1,698.66,139.44,1.96,"Indonesia","Asia","Emerging and Developing Economies",0,1,2013,1
"33","IND",74,74,0,0.780031201248063,0.196113715019893,2015,486.019,421.822,-64.197,1584,41.92,12.26624012,14.9,622.34,446.67,1.7,"India","Asia","Emerging and Developing Economies",0,1,2012,1
"34","IRL",74,74,0,2.433090024331,0.0376089446712943,2015,70.664,63.244,-7.42,64311.82,216.21,18.9115696,83.5,2825.98,68.25,8.01,"Ireland","Europe","Advanced Economies",1,1,2013,1
"35","ISL",68,71,878.14033232849,2.89017341040475,0.00197544423132428,2015,6.02,4.014,-2.006,52951.68,95.82,19.35326958,98.2,16910.72,3.3,10.97,"Iceland","Europe","Advanced Economies",1,1,2013,1
"36","ISR",72,73,0,2.39234449760777,0.0239695465438629,2015,23.27,45.012,21.742,36213.1,58.9,15.04730034,77.4,2607.84,387.25,8.12,"Israel","Asia","Advanced Economies",1,1,2014,1
"37","ITA",74,74,0,1.8315018315019,0.102385863463997,2015,197.365,301.451,104.086,30639.88,55.44,15.95446968,58.1,2533.02,203.67,5.88,"Italy","Europe","Advanced Economies",1,1,2012,1
"38","JOR",70,70,234.048753731648,2.71739130434795,0.00618460187208022,2015,8.825,17.765,8.94,4042.76,95.36,12.91745496,54.2,903.43,107.51,2.69,"Jordan","Asia","Emerging and Developing Economies",0,1,2014,1
"39","JPN",74,74,0,1.05042016806725,0.35538383477643,2015,328.821,601.959,273.138,34960.64,35.43,15.41378021,91.1,3400.59,348.81,9.72,"Japan","Asia","Advanced Economies",1,1,2010,1
"40","KAZ",69,72,6.86756474519632,2.51256281407046,0.0164759582840591,2015,81.055,50.91,-30.145,10196.12,53.05,14.19941998,70.8,3050.94,6.7,11.36,"Kazakhstan","Asia","Emerging and Developing Economies",0,1,2012,1
"41","KHM",59,72,590.937306114938,3.03951367781167,0.00620555737893254,2015,13.359,9.716,-3.643,1547.32,122.11,11.12211501,6.43,379.75,88.51,0.54,"Cambodia","Asia","Emerging and Developing Economies",0,1,2015,1
"42","KOR",74,74,0,1.06382978723406,0.242835128170031,2015,371.711,397.428,25.717,28737.44,79.13,16.57014084,89.9,5239,523.53,12.6,"Korea","Asia","Advanced Economies",1,1,2011,1
"43","LAO",45,50,1212.22939268334,2.80898876404506,0.00319820187004659,2015,9.133,7.126,-2.007,2121.01,85.8,11.17383957,18.2,602.34,29.47,1.31,"Lao P.D.R.","Asia","Emerging and Developing Economies",0,0,2017,1
"44","LTU",67,69,4.13333333333333,2.56410256410269,0.00389644081667633,2015,17.901,20.879,2.978,14269.8,138.2,16.15266037,71.4,2420.61,46.47,4.69,"Lithuania","Europe","Advanced Economies",1,1,2011,1
"45","LUX",74,74,29.2726911976912,2.61780104712054,0.00758177037878679,2015,17.633,16.74,-0.893000000000001,105462.01,351.13,14.11491013,96.4,6548.76,221.25,16.34,"Luxembourg","Europe","Advanced Economies",1,1,2012,1
"46","LVA",63,69,649.547507025139,2.71739130434795,0.00190601821205131,2015,7.99,10.999,3.009,13321.98,126.38,16.09433937,79.2,2155.85,31.78,3.87,"Latvia","Europe","Advanced Economies",1,1,2011,1
"47","MAR",73,72,0,2.59740259740272,0.0109507049074992,2015,21.967,29.505,7.538,3146.25,67.29,12.60133171,57.1,563.6,77.54,1.77,"Morocco","Africa","Emerging and Developing Economies",0,1,2015,1
"48","MEX",73,73,1.75,2.49376558603504,0.340694396851072,2015,222.97,261.043,38.073,10021.24,70.41,14.23423958,57.4,1539.14,62.28,4.05,"Mexico","America","Emerging and Developing Economies",0,1,2012,1
"49","MLT",69,69,232.788371423898,2.78551532033439,0.00175419584291901,2015,3.705,4.767,1.062,25529.68,207.2,15.49055958,76,1448.87,1388.19,3.76,"Malta","Europe","Advanced Economies",1,1,2013,1
"50","MMR",64,71,242.031310794469,2.84090909090922,0.0120682601959504,2015,19.765,17.838,-1.927,1166.73,97.1280821917808,10.73586759,10.9,353.41,78.23,0.39,"Myanmar","Asia","Emerging and Developing Economies",0,1,2013,1
"51","MYS",74,74,0,2.38663484486887,0.0616829589993907,2015,187.948,116.902,-71.046,9648.68,131.37,13.28528023,71.1,2706.93,95.06,8.1,"Malaysia","Asia","Emerging and Developing Economies",0,1,2013,1
