"","iso_o","indegree","outdegree","between","close","eigen","TIME_PERIOD","export","import","net_imp","gdp_pct","trade_openness","schooling","internet","energy","pop_den","co2","country","continent","category","development","LTE_year","adoption_year","adopted"
"1","ARG",73,73,6,3.18471337579635,0.0407049790700474,2013,72.694,59.474,-13.22,13946.1,29.33,17.2339592,59.9,1928.55,15.56,4.54,"Argentina","America","Emerging and Developing Economies",0,0,2014,1
"2","AUS",74,74,0,2.0202020202021,0.1229764696491,2013,176.07,207.056,30.986,55728.02,41.27,22.91863717,83.5,5533.38,3.01,17.54,"Australia","Pacific","Advanced Economies",1,1,2011,1
"3","AUT",73,74,0,2.85714285714301,0.0372429395675773,2013,68.221,99.288,31.067,43851.37,104.99,16.03704071,80.6,3924.82,102.76,8.21,"Austria","Europe","Advanced Economies",1,1,2010,1
"4","BEL",73,74,0,2.07900207900216,0.0562273214720003,2013,104.698,140.289,35.591,40007.9,157.57,19.35095978,82.2,5000.35,367.9,9.36,"Belgium","Europe","Advanced Economies",1,1,2012,1
"5","BGD",68,72,99.6735209235209,3.30033003300348,0.0224947419293845,2013,18.366,45.987,27.621,1103.16,46.3,10.34893254,6.63,218.94,1202.52,0.46,"Bangladesh","Asia","Emerging and Developing Economies",0,1,2013,1
"6","BGR",68,73,78.9092352092352,3.33333333333351,0.00580227355373138,2013,37.056,24.189,-12.867,6792.74,129.69,15.06062984,53.1,2353.31,65.95,6.21,"Bulgaria","Europe","Emerging and Developing Economies",0,0,2014,1
"7","BLR",73,74,126.029877529878,3.26797385620932,0.0140508277408637,2013,49.311,44.671,-4.64,6115.43,119.82,15.57808018,54.2,2870.33,46.54,6.82,"Belarus","Europe","Emerging and Developing Economies",0,1,2011,1
"8","BRA",74,73,0.866666666666667,2.88184438040362,0.149867403257284,2013,266.945,222.016,-44.929,9366.74,25.79,15.24518967,51,1487.46,23.75,2.64,"Brazil","America","Emerging and Developing Economies",0,1,2011,1
"9","BRN",62,34,1443.53607179857,3.58422939068118,0.0025694099716224,2013,5.335,4.942,-0.393,32381.07,110.94,14.74330044,64.5,7399.89,78.03,18.94,"Brunei Darussalam","Asia","Emerging and Developing Economies",0,1,2013,1
"10","CAN",74,74,0,1.99203187251004,0.421701182805087,2013,371.409,314.63,-56.779,42851.17,62.23,15.82699013,85.8,7668.79,3.91,16.4,"Canada","America","Advanced Economies",1,1,2011,1
"11","CHE",74,74,0,2.84090909090926,0.0533849075350758,2013,54.371,114.246,59.875,82479.92,133.69,16.02375984,86.3,3274.5,204.73,5.52,"Switzerland","Europe","Advanced Economies",1,1,2012,1
"12","CHL",73,73,520.468037055537,3.46020761245692,0.0497536909192523,2013,44.177,60.802,16.625,13182.73,65.14,16.10619926,58,2177.5,23.79,4.83,"Chile","America","Emerging and Developing Economies",0,1,2013,1
"13","CHN",74,74,0,0.22768670309654,0.502865726040194,2013,2272.783,1215.222,-1057.561,7198.07,45.92,13.5112315,45.8,2137.33,145.21,7.92,"China","Asia","Emerging and Developing Economies",0,1,2013,1
"14","CIV",67,62,465.342410367411,3.35570469798675,0.00281721229259395,2013,5.295,7.136,1.841,1632.33,58.35,8.155411593,6.6,446.31,75.28,0.41,"Côte d'Ivoire","Africa","Emerging and Developing Economies",0,0,2016,1
