Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,18.8227521829407,16.9238662341696,17.5540062570161,16.5982122192596,16.3855371972017,17.7473095255876,17.839116299,13.14987660941,12.5225768432907,13.7791892429929,12.4860851363953,11.4998672561905,11.477587555803,11.4200060049012,4.1141966128347,3.53042246146676,6.16017721650239,7.04318108092508,7.52811462924912
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Albania,ALB,5.7792679641904,5.55414354336552,5.18301860252376,5.13168815921025,5.0656135578178,4.7114591532226,4.33924127218943,4.30775797620938,4.3432071193413,4.47433152934748,4.79412473482729,5.30970953926052,5.73178157063886,5.42275270446205,5.65670894819093,5.96064021748117,6.19222242619904,5.37937812993245,5.74765422818215,5.90710171744016,6.2759154301457,6.30340554104145,6.51640113307682,6.70811506475057,6.9674858625345,7.06941394147026
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Algeria,DZA,..,..,..,..,34.4790528559403,44.9803977869361,10.3451538024072,9.26121851105326,8.64007998371067,7.86118213503579,8.06151876196538,8.11584656308032,8.46045227925819,8.82116731993132,7.87621943005796,9.3708250521221,9.73343874629741,8.5589556099004,8.02018645677549,9.87797970942307,7.11001759889613,6.89853876611083,7.33456829401543,7.07738040001596,6.40396994400067,6.28239503315548
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Andorra,AND,..,..,..,..,..,3.83085443139985,3.45174669836697,3.43814816998333,3.61578788906996,3.65504788618828,3.47674821321747,3.43504662211946,3.39881638773171,3.57693438403017,3.61231681311535,3.69978980213733,3.66060401500449,3.72383504240788,3.83815615460753,3.67687366253974,3.70608985448457,3.74112485956452,3.74883272584872,3.61028448557391,3.67368951398301,3.73356933178986
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Angola,AGO,3.64628079359054,3.44574999431473,4.37839118384962,6.25937084278895,3.22287577892959,2.89016332100962,3.87310081436431,3.66182566484066,3.99981452887264,4.68193830870652,3.91288354903499,3.61281577438344,3.399491640092,3.46173680669987,5.10942154872725,4.54177403520362,4.16780473313727,4.40328953329052,4.82734265180973,4.76307157240238,5.68514480307257,6.75268074236392,6.58054965735374,6.05946923337998,6.13744698434697,7.06304272536463
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Antigua and Barbuda,ATG,1.68396118652831,1.59678897081279,1.60569659192916,1.62443784790122,1.64408214648244,1.5994508182233,1.70380465740362,1.77619234179434,1.86571974358073,1.81156151550473,1.74970536049629,1.76793790767972,1.63100452448125,1.5367495476302,2.01383694839192,2.09439915105804,2.18189978336359,2.05521647212716,2.73356730113668,2.76963661615415,2.80170359243638,2.87573378949907,2.95986351713637,3.00838361795133,3.01174966372836,2.91125092485215
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Argentina,ARG,17.2467521148076,17.5357232920479,18.227905749866,17.8379584760908,16.9615250614589,16.4942719439838,16.0932258763829,20.347773913878,22.4867505875749,18.9370136214371,18.340415936715,17.8777938558849,17.0474154518997,16.5383660984547,15.5837772738051,15.8448608064195,15.8506983942663,15.2168009115954,15.0110542553443,14.7727785491821,14.1815854549835,13.4880259708051,12.8351683415363,14.0601434041581,13.5408390702829,14.5905295089183
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.42475853227752,9.68257531952384,9.66640553649803,9.20617105938632,10.2846499812967,10.631126108104,11.2719184358436,11.7114918602964,12.344909801717
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Aruba,ABW,2.51776649746193,2.51012145748988,2.47702407002188,2.7940288493794,3.59922178988327,4.10096377494424,4.27707297760187,4.4258336418259,4.77750508341168,5.62202020887743,6.18729480964419,6.56566033561861,6.66602266899619,6.67084036318234,4.20598999407169,2.86046777972098,4.20609398852294,1.99163765537339,3.26264307471188,3.43935218464331,3.58527899141791,3.68902469279816,3.73375379915049,3.22501820314885,2.56243337150077,..
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Australia,AUS,13.1145557289965,12.7342055961692,12.2944679475088,12.4621546398751,11.9353754460789,11.5527393560031,10.9763613899876,10.5440441221184,10.8540818918502,10.8735327032285,10.3252283773591,9.88080053222087,9.27923469017643,9.19390757602602,8.4472440645262,7.98782815899755,7.36479765734101,7.0463332040636,6.60397548643017,6.36290253499428,6.29227941742372,6.07824048774544,5.79305950257587,5.76468001596052,5.58629582518324,5.60852173149521
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Austria,AUT,18.5019539726343,18.2116167596248,18.3089191738941,18.2424459523507,18.4112420796266,18.726691043317,18.8665063718647,18.2889236424197,17.9613432652269,17.8020784726469,17.8503433495394,18.278172325021,18.5487211186086,17.8916492533569,16.8205431880351,17.0146236665127,17.1446473129533,17.2564830895639,17.1063898788247,17.1867790689422,17.242928730216,17.6682251530651,17.4427051605451,17.3211161045372,17.1022858668807,16.5973264696294
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Azerbaijan,AZE,11.5334145655638,10.4296274610261,8.39375613462939,8.32412951229437,6.04222404704511,5.29238464636188,6.18744826548273,7.43092783505155,8.63639543832645,8.28351035145718,6.48752245957277,5.77290330840384,4.98404471007211,4.70560975852825,5.52589076302965,4.80819498410456,3.98832610114819,4.23610388044652,4.21573682582242,4.70701069744349,4.99080544317764,4.93006229189146,4.69946458376577,4.62018678519702,5.00352885726078,6.10156507265966
